0--INFINITYM_BELOW_GROUND      地表下0米至无穷远
MAXIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS      过去6小时2米最高温度
MAXIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS_UNCLIPPED      过去6小时2米最高温度(未裁剪)
MAXIMUM_TOTAL_PRECIPITATION_RATE_IN_THE_LAST_3_HOURS      过去3小时最大总降水率
MAX_UGRD      极大风U风量
MAX_VGRD      极大风V风量
MAX_WIND      极大风
MAX_WIND_MINUTE      10分钟极大风速填图
MCDC      中云量
MEAN_DIRECTION_OF_COMBINED_WIND_WAVES_AND_SWELL      平均浪向
MEAN_LENGTH_OF_COMBINED_WIND_WAVES_AND_SWELL      平均浪波长
MEAN_PERIOD_OF_COMBINED_WIND_WAVES_AND_SWELL      风浪和涌浪叠加的平均周期
MEAN_PERIOD_OF_SWELL_WAVES      涌浪平均周期
MEAN_PERIOD_OF_WIND_WAVES      风浪平均周期
MEAN_WAVE_LENGTH_OF_WIND_WAVES      风浪平均波长
MERCATOR      麦卡托投影
MERIDIONAL_FLUX_OF_GRAVITY_WAVE_STRESS      重力波压力经向通量
MESOSCALE_CONVECTIVE_SYSTEM_NJXDQX      中尺度对流系统_南京信大气象
MET_10      MET_10卫星
MIDDLE_CLOUD      中云
MIDDLE_CLOUD_BOTTOM      中云底
MIDDLE_CLOUD_TOP      中云顶
MINIMUM_HORIZONTAL_VISIBILITY_ALL_STATION      国家站区域站最小水平能见度
MINIMUM_RELATIVE_HUMIDITY      最小相对湿度
MINIMUM_TEMPERATURE      最低温度
MINIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_3_HOURS      过去3小时2米最低温度
MINIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS      过去6小时2米最低温度
MINIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS_UNCLIPPED      过去6小时2米最低温度(未裁剪)
MIXING_LAYER      混合层
MODEL_PRODUCT      模式产品
